Timestamp(ms),Current(uA),D0-D7
128.21,90822.648,11111111
128.22,93133.25,11111111
128.23,91592.789,11111111
128.24,94673.953,11111111
128.25,93133.25,11111111
128.26,93903.57,11111111
128.27,93903.57,11111111
128.28,94673.953,11111111
128.29,93903.57,11111111
128.3,93133.25,11111111
128.31,93133.25,11111111
128.32,90822.648,11111111
128.33,94673.953,11111111
128.34,94673.953,11111111
128.35,94673.953,11111111
128.36,94673.953,11111111
128.37,93133.25,11111111
128.38,93903.57,11111111
128.39,93903.57,11111111
128.4,93903.57,11111111
128.41,96214.898,11111111
128.42,94673.953,11111111
128.43,90822.648,11111111
128.44,93133.25,11111111
128.45,91592.789,11111111
128.46,92362.992,11111111
128.47,94673.953,11111111
128.48,93903.57,11111111
128.49,94673.953,11111111
128.5,94673.953,11111111
128.51,93133.25,11111111
128.52,92362.992,11111111
128.53,93133.25,11111111
128.54,93133.25,11111111
128.55,95444.398,11111111
128.56,92362.992,11111111
128.57,91592.789,11111111
128.58,91592.789,11111111
128.59,91592.789,11111111
128.6,93133.25,11111111
128.61,93903.57,11111111
128.62,92362.992,11111111
128.63,93903.57,11111111
128.64,93903.57,11111111
128.65,93133.25,11111111
128.66,91592.789,11111111
128.67,93133.25,11111111
128.68,93133.25,11111111
128.69,91592.789,11111111
128.7,95444.398,11111111
128.71,90822.648,11111111
128.72,93903.57,11111111
128.73,93903.57,11111111
128.74,94673.953,11111111
128.75,92362.992,11111111
128.76,93133.25,11111111
128.77,91592.789,11111111
128.78,92362.992,11111111
128.79,93133.25,11111111
128.8,95444.398,11111111
128.81,94673.953,11111111
128.82,96214.898,11111111
128.83,93903.57,11111111
128.84,98526.781,11111111
128.85,102381.125,11111111
128.86,95444.398,11111111
128.87,91592.789,11111111
128.88,92362.992,11111111
128.89,93903.57,11111111
128.9,94673.953,11111111
128.91,95444.398,11111111
128.92,93903.57,11111111
128.93,92362.992,11111111
128.94,90822.648,11111111
128.95,93903.57,11111111
128.96,94673.953,11111111
128.97,93903.57,11111111
128.98,93133.25,11111111
128.99,90052.57,11111111
129,93903.57,11111111
129.01,92362.992,11111111
129.02,93133.25,11111111
129.03,92362.992,11111111
129.04,94673.953,11111111
129.05,93133.25,11111111
129.06,94673.953,11111111
